Sun May  2 22:55:22 2021	1023.3	+0.2	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 22:55:22 2021	
Sun May  2 22:56:22 2021	1023.6	+0.1	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 22:56:22 2021	
Sun May  2 22:57:22 2021	1023.5	+0.2	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 22:57:22 2021	
Sun May  2 22:58:22 2021	1023.7	+0.2	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 22:58:22 2021	
Sun May  2 22:59:22 2021	1023.5	+0.1	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 22:59:22 2021	
Sun May  2 23:00:22 2021	1023.5	+0.1	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 23:00:22 2021	
Sun May  2 23:01:22 2021	1023.5	+0.1	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 23:01:22 2021	
Sun May  2 23:02:22 2021	1023.5	+0.2	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 23:02:22 2021	
Sun May  2 23:03:22 2021	1023.6	+0.2	Fair	6.5	2.2	74	0.0	F0	-	Sun May  2 23:03:22 2021	
Sun May  2 23:04:22 2021	1023.6	+0.2	Fair	6.6	2.1	73	0.0	F0	WSW	Sun May  2 23:04:22 2021	
Sun May  2 23:05:22 2021	1023.4	+0.1	Fair	6.6	2.1	73	0.0	F0	WSW	Sun May  2 23:05:22 2021	
Sun May  2 23:06:22 2021	1023.6	+0.2	Fair	6.7	2.2	73	0.0	F0	W	Sun May  2 23:06:22 2021	
Sun May  2 23:07:22 2021	1023.5	+0.1	Fair	6.7	2.2	73	0.0	F0	W	Sun May  2 23:07:22 2021	
Sun May  2 23:08:22 2021	1023.3	+0.1	Fair	6.6	2.1	73	0.0	F0	W	Sun May  2 23:08:22 2021	
Sun May  2 23:09:22 2021	1023.5	0.0	Settled	6.6	2.1	73	0.0	F0	W	Sun May  2 23:09:22 2021	
Sun May  2 23:10:22 2021	1023.4	+0.1	Fair	6.6	2.1	73	0.0	F0	W	Sun May  2 23:10:22 2021	
Sun May  2 23:11:22 2021	1023.4	+0.1	Fair	6.6	2.3	74	0.0	F0	W	Sun May  2 23:11:22 2021	
Sun May  2 23:12:22 2021	1023.6	+0.2	Fair	6.5	2.2	74	0.0	F0	W	Sun May  2 23:12:22 2021	
Sun May  2 23:13:22 2021	1023.5	+0.2	Fair	6.5	2.2	74	0.0	F0	W	Sun May  2 23:13:22 2021	
Sun May  2 23:14:22 2021	1023.7	+0.2	Fair	6.5	2.2	74	0.0	F0	W	Sun May  2 23:14:22 2021	
Sun May  2 23:15:22 2021	1023.7	+0.2	Fair	6.4	2.1	74	0.0	F0	W	Sun May  2 23:15:22 2021	
Sun May  2 23:16:22 2021	1023.7	0.0	Settled	6.4	2.3	75	0.0	F0	W	Sun May  2 23:16:22 2021	
Sun May  2 23:17:22 2021	1023.6	+0.2	Fair	6.4	2.3	75	0.0	F0	W	Sun May  2 23:17:22 2021	
Sun May  2 23:18:22 2021	1023.6	+0.2	Fair	6.3	2.2	75	0.0	F0	WNW	Sun May  2 23:18:22 2021	
Sun May  2 23:19:22 2021	1023.6	+0.2	Fair	6.3	2.2	75	0.0	F0	WNW	Sun May  2 23:19:22 2021	
Sun May  2 23:20:22 2021	1023.4	+0.1	Fair	6.3	2.2	75	0.0	F0	WNW	Sun May  2 23:20:22 2021	
Sun May  2 23:21:22 2021	1023.5	+0.1	Fair	6.3	2.2	75	0.0	F0	WNW	Sun May  2 23:21:22 2021	
Sun May  2 23:22:22 2021	1023.8	+0.2	Fair	6.3	2.4	76	0.0	F0	W	Sun May  2 23:22:22 2021	
Sun May  2 23:23:22 2021	1023.4	+0.1	Fair	6.3	2.4	76	0.0	F0	W	Sun May  2 23:23:22 2021	
Sun May  2 23:24:22 2021	1023.6	+0.2	Fair	6.3	2.4	76	0.0	F0	W	Sun May  2 23:24:22 2021	
Sun May  2 23:25:22 2021	1023.5	+0.1	Fair	6.3	2.4	76	0.0	F0	W	Sun May  2 23:25:22 2021	
Sun May  2 23:26:22 2021	1023.6	+0.1	Fair	6.4	2.5	76	0.0	F1	W	Sun May  2 23:26:22 2021	
Sun May  2 23:27:22 2021	1023.6	+0.1	Fair	6.4	2.5	76	0.0	F1	W	Sun May  2 23:27:22 2021	
Sun May  2 23:28:22 2021	1023.7	+0.1	Fair	6.4	2.5	76	0.0	F1	W	Sun May  2 23:28:22 2021	
Sun May  2 23:29:22 2021	1023.4	+0.2	Fair	6.3	2.4	76	0.0	F1	W	Sun May  2 23:29:22 2021	
Sun May  2 23:30:22 2021	1023.7	+0.2	Fair	6.3	2.4	76	0.0	F1	W	Sun May  2 23:30:22 2021	
Sun May  2 23:31:22 2021	1023.5	+0.2	Fair	6.3	2.4	76	0.0	F1	W	Sun May  2 23:31:22 2021	
Sun May  2 23:32:22 2021	1023.5	+0.1	Fair	6.3	2.4	76	0.0	F1	W	Sun May  2 23:32:22 2021	
Sun May  2 23:33:22 2021	1023.4	+0.2	Fair	6.3	2.4	76	0.0	F1	W	Sun May  2 23:33:22 2021	
Sun May  2 23:34:22 2021	1023.3	+0.1	Fair	6.3	2.4	76	0.0	F1	WNW	Sun May  2 23:34:22 2021	
Sun May  2 23:35:22 2021	1023.4	+0.1	Fair	6.2	2.5	77	0.0	F1	WNW	Sun May  2 23:35:22 2021	
Sun May  2 23:36:22 2021	1023.4	+0.1	Fair	6.2	2.5	77	0.0	F1	WNW	Sun May  2 23:36:22 2021	
